"last_name, first_name",player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,b_rbi,b_lob,b_total_bases,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,attack_angle,attack_direction,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate
"Thomas, Alek",677950,2023,23,374,402,86,55,17,5,9,86,19,21.4,4.7,0.23,0.374,0.273,0.647,0.144,0.273,39,141,140,1,9,0.247,0.374,0.278,0.291,0.29,0.128,69.9,6.2,14.6,11.5,39.6,31.2,6.8,18.0,7.9,0.3,60.6,27.9,88.9,2.2,28.3,5.1
"Carroll, Corbin",682998,2023,22,565,645,161,96,30,10,25,125,57,19.4,8.8,0.285,0.506,0.362,0.868,0.221,0.325,76,219,286,5,54,0.264,0.445,0.37,0.345,0.345,0.181,73.2,29.6,14.2,11.0,36.4,28.2,6.8,8.0,5.5,1.9,45.6,26.2,90.0,11.0,32.7,7.6
"Canzone, Dominic",686527,2023,25,173,182,38,19,13,0,6,32,8,17.6,4.4,0.22,0.399,0.258,0.657,0.179,0.237,21,89,69,0,1,0.255,0.489,0.282,0.332,0.292,0.233,70.9,13.1,20.7,15.5,42.3,31.8,7.2,3.0,17.5,-2.6,47.3,35.2,89.7,16.3,31.9,12.1
"Lawlar, Jordan",691783,2023,20,31,34,4,4,0,0,0,11,2,32.4,5.9,0.129,0.129,0.206,0.335,0.0,0.2,0,15,4,1,1,0.14,0.183,0.166,0.19,0.216,0.043,68.6,0.0,0.0,0.0,16.2,11.3,7.4,3.0,14.3,-0.8,58.5,36.2,77.8,13.9,15.0,0.0
"Grichuk, Randal",545341,2024,32,254,279,74,40,20,2,12,46,20,16.5,7.2,0.291,0.528,0.348,0.876,0.237,0.313,46,121,134,0,0,0.275,0.5,0.373,0.366,0.336,0.225,73.7,35.4,18.9,15.2,34.7,27.9,7.7,10.0,9.2,-8.3,62.6,28.3,90.6,17.3,34.3,11.0
"Suárez, Eugenio",553993,2024,32,571,640,146,86,28,2,30,176,49,27.5,7.7,0.256,0.469,0.319,0.788,0.213,0.309,101,266,268,1,2,0.246,0.463,0.337,0.335,0.313,0.217,72.2,21.5,15.0,10.8,30.7,22.2,7.8,34.0,17.5,-3.8,50.2,38.6,89.1,19.5,40.4,11.3
"Barnhart, Tucker",571466,2024,33,81,96,14,11,3,0,0,31,13,32.3,13.5,0.173,0.21,0.287,0.497,0.037,0.28,6,43,17,0,1,0.165,0.223,0.239,0.244,0.28,0.059,67.4,2.5,8.4,5.9,31.3,21.8,7.4,2.0,12.1,-3.6,44.5,33.3,83.4,3.2,34.6,3.8
"Walker, Christian",572233,2024,33,479,552,120,68,26,0,26,133,55,24.1,10.0,0.251,0.468,0.335,0.803,0.217,0.287,84,230,224,2,2,0.243,0.47,0.343,0.354,0.335,0.228,75.0,52.7,15.8,12.2,26.1,20.2,7.5,32.0,8.7,-3.7,46.9,30.3,91.2,16.6,35.0,13.3
"Pederson, Joc",592626,2024,32,367,449,101,60,17,1,23,105,55,23.4,12.2,0.275,0.515,0.393,0.908,0.24,0.322,64,140,189,4,7,0.259,0.486,0.391,0.378,0.381,0.227,73.4,37.3,16.0,12.3,29.1,22.3,7.7,10.0,10.0,-5.1,53.9,31.3,92.3,16.9,34.2,12.8
"Bell, Josh",605137,2024,31,538,603,134,90,23,2,19,120,51,19.9,8.5,0.249,0.405,0.319,0.724,0.156,0.286,71,221,218,1,0,0.233,0.402,0.317,0.312,0.306,0.169,70.4,15.0,15.4,11.6,36.1,27.3,7.9,15.0,9.2,1.3,53.5,35.1,88.9,10.5,31.4,7.6
"Marte, Ketel",606466,2024,30,504,583,147,86,23,2,36,106,65,18.2,11.1,0.292,0.56,0.372,0.932,0.268,0.299,95,172,282,1,7,0.289,0.545,0.391,0.394,0.374,0.256,73.7,40.6,20.3,16.2,38.1,30.5,7.6,6.0,9.1,-4.9,53.6,33.7,94.0,9.4,33.7,12.3
"Peterson, Jace",607054,2024,34,22,26,1,1,0,0,0,6,3,23.1,11.5,0.045,0.045,0.154,0.199,0.0,0.059,1,12,1,0,0,0.203,0.238,0.113,0.251,0.291,0.034,66.4,2.6,0.0,0.0,38.5,26.3,6.9,2.0,12.2,-5.0,50.0,34.9,82.6,-12.4,17.6,0.0
"Newman, Kevin",621028,2024,30,288,311,80,59,17,1,3,48,15,15.4,4.8,0.278,0.375,0.311,0.686,0.097,0.322,28,134,108,1,8,0.257,0.326,0.298,0.275,0.292,0.069,67.6,2.6,6.2,5.3,38.7,33.0,6.7,11.0,5.8,-0.1,44.6,32.3,85.6,9.7,25.0,1.6
"Guillorme, Luis",641645,2024,29,161,187,33,23,9,1,0,36,23,19.3,12.3,0.205,0.273,0.301,0.574,0.068,0.26,10,77,44,2,4,0.223,0.3,0.263,0.285,0.318,0.077,64.9,1.0,4.5,3.8,38.7,32.2,7.5,4.0,5.2,14.6,39.4,34.7,85.5,5.7,32.8,2.3
"Smith, Pavin",656976,2024,28,137,158,37,17,11,0,9,31,18,19.6,11.4,0.27,0.547,0.348,0.895,0.277,0.28,36,67,75,0,1,0.287,0.534,0.377,0.396,0.369,0.247,73.0,32.1,19.9,16.0,40.4,32.5,7.4,4.0,11.3,-3.7,53.3,31.3,90.2,13.1,34.9,14.7
"McCarthy, Jake",664983,2024,26,442,495,126,98,13,7,8,78,31,15.8,6.3,0.285,0.4,0.349,0.749,0.115,0.329,56,147,177,6,25,0.265,0.363,0.329,0.314,0.333,0.099,67.3,3.1,6.8,5.7,31.8,26.5,6.7,12.0,8.8,1.3,49.9,34.7,84.5,9.1,30.4,2.7
"Moreno, Gabriel",672515,2024,24,305,351,81,57,18,1,5,52,41,14.8,11.7,0.266,0.38,0.353,0.733,0.114,0.303,45,124,116,1,3,0.251,0.393,0.325,0.329,0.342,0.142,70.6,13.0,14.8,12.0,36.0,29.2,7.0,7.0,6.9,6.8,43.8,33.9,90.0,8.8,33.6,6.6
"Perdomo, Geraldo",672695,2024,24,337,388,92,66,21,2,3,58,36,14.9,9.3,0.273,0.374,0.344,0.718,0.101,0.317,37,143,126,1,9,0.231,0.326,0.317,0.287,0.307,0.096,66.9,2.2,7.6,6.6,38.4,33.6,6.8,11.0,8.9,-1.4,50.7,35.0,87.0,16.9,28.9,3.1
"Alexander, Blaze",677942,2024,25,166,185,41,31,7,0,3,49,15,26.5,8.1,0.247,0.343,0.321,0.664,0.096,0.333,21,80,57,1,3,0.203,0.29,0.298,0.262,0.281,0.087,73.1,30.4,11.5,8.1,28.2,19.9,7.3,6.0,7.2,4.8,37.8,34.3,88.5,8.5,22.9,3.4
"Thomas, Alek",677950,2024,24,95,103,18,9,5,1,3,17,7,16.5,6.8,0.189,0.358,0.245,0.603,0.169,0.2,17,51,34,1,4,0.277,0.46,0.262,0.344,0.326,0.184,70.9,8.1,18.7,14.7,44.9,35.3,7.1,5.0,10.8,-0.3,61.8,29.2,91.2,1.0,26.6,7.6
"Barrosa, Jorge",678489,2024,23,17,18,3,1,2,0,0,2,0,11.1,0.0,0.176,0.294,0.176,0.47,0.118,0.2,1,11,5,0,1,0.346,0.444,0.199,0.348,0.346,0.099,68.6,8.7,9.5,8.7,28.6,26.1,7.8,0.0,13.3,-6.2,65.2,25.2,83.2,9.5,31.3,6.3
"Carroll, Corbin",682998,2024,23,589,684,136,78,22,14,22,130,73,19.0,10.7,0.231,0.428,0.322,0.75,0.197,0.256,74,241,252,8,35,0.239,0.401,0.325,0.328,0.332,0.162,73.7,36.9,18.4,14.6,34.9,27.7,7.0,5.0,6.5,-0.3,53.0,22.5,89.3,12.0,27.8,7.2
"McCann, James",543510,2025,35,123,137,32,21,6,0,5,33,8,24.1,5.8,0.26,0.431,0.324,0.755,0.171,0.314,17,47,53,0,0,0.239,0.408,0.328,0.313,0.306,0.169,71.7,19.3,20.5,14.2,37.7,26.1,7.0,4.0,11.0,-3.6,45.0,36.0,92.3,8.3,30.4,7.6
"Vargas, Ildemaro",545121,2025,33,115,121,31,25,2,1,3,15,2,12.4,1.7,0.27,0.383,0.292,0.675,0.113,0.286,19,51,44,0,0,0.262,0.376,0.292,0.287,0.284,0.114,70.5,11.6,15.2,12.7,43.0,36.0,7.4,8.0,5.7,-6.6,46.6,23.6,89.2,3.3,26.5,3.9
"Grichuk, Randal",545341,2025,33,272,293,62,34,18,1,9,61,17,20.8,5.8,0.228,0.401,0.273,0.674,0.173,0.259,27,116,109,1,0,0.259,0.457,0.289,0.326,0.305,0.197,73.9,42.4,19.9,16.1,34.4,27.8,7.7,9.0,10.2,-6.3,64.6,28.3,92.4,17.6,33.6,11.7
